AP225,0.00,148.00,38.9200,-95.4538
AP228,0.00,0.00,36.0682,-95.6175
AP250,0.00,323.00,46.6380,-111.9430
AP255,0.00,240.00,31.8287,-106.4488
AP266,1.79,225.00,37.9892,-100.8893
AP271,6.26,121.00,46.8000,-101.4083
AP302,0.89,158.00,18.3955,-66.0810
AP304,0.00,0.00,31.4405,-100.3892
AP330,4.47,96.00,46.0397,-98.3855
AP458,2.68,218.00,41.4488,-96.4847
AP462,2.24,171.00,51.1682,0.6240
AP474,0.00,202.00,46.1813,-123.8399
AP525,0.00,0.00,40.4390,-122.2395
AP536,0.00,243.00,38.9100,-94.3241
AP542,0.89,60.00,40.3447,-105.0997
AP548,0.00,135.00,36.1738,-95.5488
AP574,0.00,184.00,38.8754,-99.3111
AP590,0.00,271.00,32.8510,-97.2749
AP593,0.00,41.00,35.1722,-101.9330
AP594,0.45,252.00,30.6512,-96.3283
AP612,0.00,43.00,41.1142,-112.0618
AP624,0.89,87.00,53.3573,-1.4962
AP626,1.79,182.00,51.3697,0.5215
AP627,0.00,277.00,50.1495,-96.8892
AP628,2.24,146.00,-36.7275,144.2563
AP640,4.47,3.00,46.7717,-100.6617
AP641,0.00,0.00,46.8912,-100.7778
AP656,1.34,140.00,32.5677,-97.2657
AP657,2.24,141.00,41.8153,-103.6728
AP669,0.00,10.00,52.4999,4.7481
AP677,0.00,208.00,42.0368,-97.4525
AP695,4.47,203.00,-43.8627,171.7052
AP706,3.13,190.00,40.9253,-98.4003
AP710,0.00,132.00,47.4393,-122.1808
AP711,0.89,183.00,38.9007,-105.2075
AP713,0.00,0.00,39.5838,-105.1708
AP734,6.26,205.00,39.5247,-101.6681
AP758,0.00,96.00,43.9774,-124.0985
AP771,0.00,12.00,44.4548,-93.1637
AP780,1.79,121.00,35.7087,-105.9212
AP786,0.00,90.00,29.8645,-95.6333
AP795,0.00,137.00,48.0872,-122.0628
AP803,1.34,304.00,36.9822,-122.0153
AP806,0.00,180.00,46.1517,-122.9800
AP823,0.00,0.00,64.8732,-147.1742
AP834,2.24,95.00,20.8552,-156.3148
AP838,0.00,119.00,29.6862,-98.5158
AP840,0.45,268.00,39.4325,-105.4423
AP841,0.00,77.00,39.0320,-104.8121
AP844,0.00,270.00,31.7276,-109.7280
AP845,0.00,47.00,36.2008,-115.1250
AP863,4.02,184.00,39.3897,-101.0452
AP864,2.24,198.00,38.3692,-99.0152
AP866,0.00,184.00,41.5277,-93.9474
AP871,0.00,51.00,44.5685,-93.1300
AP872,0.00,37.00,44.0962,-92.4942
AP874,1.34,18.00,-32.1963,152.5200
AP884,0.00,33.00,49.0192,-123.0867
AP885,0.00,156.00,47.4000,-122.0062
AP890,0.45,170.00,45.3895,-117.2375
AP892,0.00,0.00,44.2333,-120.8208
AP893,0.00,341.00,37.8583,-120.2125
AP894,1.79,39.00,37.3242,-120.5918
AP898,0.00,0.00,36.2818,-119.3058
AP900,9.83,30.00,35.0492,-120.0400
AP901,0.00,237.00,34.6022,-120.0947
AP902,0.89,170.00,34.5648,-118.1077
AP904,2.68,264.00,34.3683,-117.4082
AP907,0.00,0.00,32.8900,-117.2500
AP912,1.34,175.00,40.5392,-104.7812
AP949,4.02,240.00,48.5558,2.6797
AP971,3.13,280.00,41.7892,0.8167
AP976,0.00,351.00,49.3845,7.2065
AP977,6.71,259.00,-36.8508,174.8505
AP983,1.34,168.00,39.5888,-104.8853
AP993,0.00,97.00,29.8545,-96.5272
AP996,2.24,153.00,31.0717,-98.2067
